"Name","ServerVersion","Description","LastUpdate","ModuleType"
"KScript.AccountMaintenance","1.58","<module><description>Account life-cycle management.</description><type>ProcessAutomation</type></module>","09/01/2015 09:56:02",""
"KScript.AD","1.41","<module><description>Active Directory management tools.</description><type>ToolSet</type></module>","08/12/2014 14:19:12",""
"KScript.ADReport","0.7","<module><description>Active Directory reporting.</description><type>ProcessAutomation</type></module>","28/11/2014 08:13:01",""
"KScript.Base","1.48","<module><description>Module version control and shared functions.</description><type>ToolSet</type></module>","10/12/2014 08:52:44",""
"KScript.CertificateManagement","1.14","<module><description>X509 certificate management.</description><type>ToolSet</type></module>","08/12/2014 14:04:52",""
"KScript.CMDB","2.34","<module><description>Device auditing.</description><type>ToolSet</type></module>","14/01/2015 16:42:06",""
"KScript.Crypto","0.1","<module><description>Cryptography module</description><type>ToolSet</type></module>","20/01/2015 09:31:55",""
"KScript.DHCP","1.0","<module><description>DHCP management.</description><type>ToolSet</type></module>","08/01/2015 17:03:03",""
"KScript.DNSResolver","1.0","<module><description>DNS resolver.</description><type>ToolSet</type></module>","14/01/2015 16:37:30",""
"KScript.EventLog","1.55","<module><description>Event log query tools.</description><type>ToolSet</type></module>","12/11/2014 15:27:25",""
"KScript.LongItem","0.1","<module><description>Long path file management.</description><type>ToolSet</type></module>","01/10/2014 10:02:50",""
"KScript.Lync","2.7","<module><description>Lync account maintenance.</description><type>ProcessAutomation</type></module>","19/09/2014 08:02:47",""
"KScript.ModuleManagement","0.26","<module><description>Module release management and documentation.</description><type>Development</type></module>","15/01/2015 15:12:47",""
"KScript.NetworkTools","1.0","<module><description>Network tools.</description><type>ToolSet</type></module>","14/01/2015 16:47:37",""
"KScript.ScheduledRestart","1.9","<module><description>Scheduled restart management.</description><type>ProcessAutomation</type></module>","14/10/2014 14:12:45",""
"KScript.ScheduledScripts","1.1","<module><description>Scripts which would ordinarily be standalone are stored in this module.</description><type>ProcessAutomation</type></module>","21/11/2014 16:09:54",""
"KScript.ServerMaintenance","1.1","<module><description>Server maintenance.</description><type>ToolSet</type></module>","03/11/2014 16:34:24",""
"KScript.SharePoint","0.6","<module><description>SharePoint 2007 interface</description><type>ToolSet</type></module>","31/07/2014 09:55:17",""
"KScript.SSH","0.1","<module><description>SSH client.</description><type>ToolSet</type></module>","03/10/2014 11:56:37",""
"KScript.Utility","1.21","<module><description>Utility functions.</description><type>ToolSet</type></module>","09/01/2015 13:07:04",""
"KScript.VI","0.7","<module><description>Virtual infrastructure automation.</description><type>ToolSet</type></module>","20/01/2015 09:36:13",""
"KScript.VirtualInfrastructure","2.14","<module><description>Virtual infrastructure platform abstraction.</description><type>ToolSet</type></module>","01/12/2014 12:50:58",""
"KScript.Wmi","1.2","<module><description>WMI helper library</description><type>ToolSet</type></module>","09/01/2015 13:07:31",""
